#1. Do you use software in your research?,3. Have you had formal training in software development?,4. Which of these is more common in your work?,5. Select any of these that you use regularly to write code for your research.,6. What is your field of research?,7. What is your career stage?,8. My institution is located in:,9. Please share any other comments you may have on the topic.
use,training,own,software,field,career,location
Yes,Little,Own,IDL Python Fortran Perl Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,Little,Own,IDL,Instrumentation,Research scientist,United States of America
Yes,Little,Between,IDL Python Fortran SQL bash awk,Observational,Research scientist,United Kingdom
Yes,Little,Between,Python Shell Scripting,Observational,Research scientist,United States of America
Yes,Little,Between,IDL IRAF Python Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,Little,Between,Python SQL,Observational,Research scientist,United States of America
Yes,Little,Between,Python C Shell Scripting,Observational Instrumentation,Research scientist,United States of America
Yes,Little,Between,Python Javascript R SQL HTML/CSS Objective-C,Observational,Research scientist,United States of America
Yes,Little,Between,Fortran,Observational Planetary,Research scientist,United States of America
Yes,Little,Between,Python C Fortran SQL Shell Scripting,Observational,Research scientist,United States of America
Yes,Little,Between,IDL,Observational,Research scientist,United States of America
Yes,Little,Between,IDL IRAF Python C Matlab SQL Shell Scripting HTML/CSS gnuplot,Observational,Research scientist,Poland
Yes,Little,Between,IDL Python C Shell Scripting sm or supermongo,Observational,Research scientist,United States of America
Yes,Little,Own,Python Fortran Shell Scripting HTML/CSS,Observational Theory,Research scientist,Germany
Yes,Little,Between,IRAF Python C Perl SQL Shell Scripting sm or supermongo,Observational Instrumentation Planetary Other,Research scientist,United States of America
Yes,Little,Between,IRAF Python C SQL Shell Scripting STAN HTML/CSS,Observational,Research scientist,United States of America
Yes,Little,Between,IDL Python C Perl Matlab Shell Scripting HTML/CSS Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,Little,Between,Python Matlab,Observational,Research scientist,Taiwan
Yes,Little,Own,IDL IRAF Fortran Perl,Observational Instrumentation,Research scientist,United States of America
Yes,Little,Between,IDL Excel or other spreadsheet,Observational Instrumentation,Research scientist,United States of America
Yes,Little,Others,IDL Python CASA,Observational,Research scientist,Mexico
Yes,Little,Own,IRAF Python C Javascript Shell Scripting Ruby HTML/CSS haskell,Instrumentation Other,Research scientist,United States of America
Yes,Little,Own,IDL Python SQL HTML/CSS,Observational,Research scientist,United States of America
Yes,Little,Own,IDL Python,Theory,Research scientist,Mexico
Yes,Little,Between,IDL IRAF Python Fortran Javascript SQL Shell Scripting HTML/CSS sm or supermongo,Observational,Research scientist,United States of America
Yes,Little,Between,IRAF Python C,Observational Instrumentation,Research scientist,South Korea
Yes,Little,Between,IDL Python Fortran Shell Scripting HTML/CSS Excel or other spreadsheet VBScript PHP,Observational Instrumentation Planetary,Research scientist,United States of America
Yes,Little,Between,IRAF Python C Fortran Perl Shell Scripting sm or supermongo,Observational,Research scientist,United States of America
Yes,Little,Own,Fortran Shell Scripting sm or supermongo,Other,Research scientist,Argentina
Yes,Little,Between,IRAF Python Fortran Perl sm or supermongo,Observational Theory,Research scientist,France
Yes,Little,Between,Python C R SQL Shell Scripting HTML/CSS,Observational,Research scientist,United Kingdom
Yes,Little,Between,Python C Shell Scripting Excel or other spreadsheet c++,Observational Instrumentation,Research scientist,United Kingdom
Yes,Little,Own,Python Shell Scripting HTML/CSS,Observational,Research scientist,United Kingdom
Yes,Little,Own,Python C Shell Scripting C++,Observational Instrumentation,Research scientist,Australia
Yes,Little,Others,IRAF Python Shell Scripting,Observational,Research scientist,Netherlands
Yes,Little,Others,IDL IRAF Shell Scripting HTML/CSS sm or supermongo,Observational,Research scientist,Greece
Yes,Little,Others,Fortran Shell Scripting,Observational,Research scientist,Italy
Yes,Little,Others,IRAF Fortran Shell Scripting Excel or other spreadsheet,Observational,Research scientist,United States of America
Yes,Little,Own,Python Java,Instrumentation,Research scientist,Germany
Yes,Little,Own,IDL IRAF SQL HTML/CSS,Observational,Research scientist,Germany
Yes,Little,Between,IDL Python SQL,Observational Instrumentation,Research scientist,Germany
Yes,Little,Between,IDL Fortran HTML/CSS Excel or other spreadsheet,Observational,Research scientist,Germany
Yes,Little,Between,IRAF C Shell Scripting sm or supermongo,Observational,Research scientist,Germany
Yes,Little,Between,IDL C Perl Shell Scripting,Observational Instrumentation,Research scientist,Germany
Yes,Little,Between,IRAF C Fortran Shell Scripting,Observational Theory,Research scientist,India
Yes,Little,Own,IDL C Shell Scripting HTML/CSS Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,Little,Between,IDL Python C Javascript SQL Shell Scripting HTML/CSS,Observational,Research scientist,United States of America
Yes,Little,Between,IDL SQL Ruby HTML/CSS,Planetary,Research scientist,United States of America
Yes,Little,Between,Python Fortran Shell Scripting sm or supermongo,Observational,Research scientist,United States of America
Yes,Little,Own,Python C Java SQL HTML/CSS sm or supermongo C++ groovy,Observational,Research scientist,United Kingdom
Yes,Little,Others,Python,Observational,Research scientist,Australia
Yes,Little,Own,IRAF Python Shell Scripting Excel or other spreadsheet Mathematica,Observational Planetary,Research scientist,United States of America
Yes,Little,Between,IRAF Fortran sm or supermongo,Planetary,Research scientist,United States of America
Yes,Little,Between,IDL Python Shell Scripting,Planetary,Research scientist,United States of America
Yes,Little,Between,IDL Python Excel or other spreadsheet,Planetary,Research scientist,United States of America
Yes,Little,Own,Fortran HTML/CSS Excel or other spreadsheet,Planetary,Research scientist,United States of America
Yes,Little,Between,C Fortran Shell Scripting ISIS (USGS) Octave (GNU),Planetary,Research scientist,United States of America
Yes,Little,Own,Python Shell Scripting,Observational Instrumentation,Research scientist,Korea South
Yes,Little,Between,Python Excel or other spreadsheet,Observational Theory Other Mission development,Research scientist,United States of America
Yes,Yes,Between,Python SQL,Observational,Research scientist,United States of America
Yes,Yes,Others,Fortran Java SQL,Observational Theory,Research scientist,Germany
Yes,Yes,Between,IRAF C Fortran Perl R Shell Scripting HTML/CSS Excel or other spreadsheet C++,Observational,Research scientist,Finland
Yes,Yes,Between,IDL Python Shell Scripting Miriad CASA,Observational,Research scientist,Canada
Yes,Yes,Between,Python C Shell Scripting HTML/CSS Mathematica,Observational Theory,Research scientist,United Kingdom
Yes,Yes,Own,IRAF Python C Shell Scripting,Observational,Research scientist,United States of America
Yes,Yes,Between,IDL IRAF Python C Fortran Perl Javascript SQL Figaro HTML/CSS sm or supermongo Excel or other spreadsheet,Observational,Research scientist,Spain
Yes,Yes,Own,IDL Python SQL Shell Scripting HTML/CSS,Observational,Research scientist,United States of America
Yes,Yes,Others,Python Javascript SQL HTML/CSS,Observational Theory,Research scientist,
Yes,Yes,Between,IRAF C Fortran Perl Shell Scripting HTML/CSS,Observational Instrumentation,Research scientist,United States of America
Yes,Yes,Others,IRAF Python C Matlab Excel or other spreadsheet,Instrumentation,Research scientist,United States of America
Yes,Yes,Between,IDL IRAF Python C Fortran Shell Scripting sm or supermongo Octave,Observational Instrumentation Computational Astrophysics/Machine Learning,Research scientist,United States of America
Yes,Yes,Between,IDL IRAF,Observational,Research scientist,United States of America
Yes,Yes,Own,Python C Java R,Observational,Research scientist,Germany
Yes,Yes,Own,C Fortran Matlab,Physics,Research scientist,United States of America
Yes,Yes,Own,IDL C Fortran Perl Javascript SQL Shell Scripting Excel or other spreadsheet,Planetary,Research scientist,United States of America
Yes,Yes,Others,,Observational,Research scientist,Australia
Yes,Little,Own,C Fortran Perl Shell Scripting HTML/CSS Excel or other spreadsheet postscript,Observational Theory,Retired Faculty,United States of America
Yes,No,Between,C Fortran Perl Shell Scripting HTML/CSS,Observational,Staff at FFRDC with some research time,United States of America
Yes,Little,Own,C Java,Instrumentation,Staff engineer,United States of America
Yes,No,Between,IDL Fortran HTML/CSS,Observational,staff scientist at an observatory,United States of America
Yes,Little,Others,,Observational,staff scientist on long-term disability leave,United States of America
Yes,No,Between,IDL Python Shell Scripting,Observational,Undergraduate student,Australia
Yes,No,Between,IDL sm or supermongo,Observational,Undergraduate student,Germany
Yes,No,Others,IRAF Shell Scripting Excel or other spreadsheet,Observational,Undergraduate student,Argentina
Yes,No,Own,IRAF Python C Fortran Shell Scripting HTML/CSS,Observational,Undergraduate student,United States of America
Yes,Little,Others,IRAF C Fortran Shell Scripting DAOPHOT II,Observational,Undergraduate student,Chile
Yes,Little,Own,IDL Python C Shell Scripting,Theory,Undergraduate student,Germany
Yes,Little,Between,Python,Other,Undergraduate student,United States of America
Yes,Little,Between,IDL Python Fortran,Theory,Undergraduate student,Germany
Yes,Little,Own,Python C Fortran Java,Observational,Undergraduate student,United States of America
Yes,Little,Between,Python,Observational,Undergraduate student,United States of America
Yes,No,Between,IRAF Shell Scripting,Observational Other,unemployed postdoc,United Kingdom
Yes,No,Between,sm or supermongo Excel or other spreadsheet mathematica,,,
Yes,Little,Between,IDL IRAF Python C Matlab SQL Shell Scripting HTML/CSS gnuplot,,,
Yes,Little,Between,IDL Python Fortran Shell Scripting,Theory,,United States of America
Yes,Little,Own,Fortran Shell Scripting HTML/CSS sm or supermongo,Other,,Germany
